date,AAPL,MSFT,JNJ,UNH,JPM,GS,XOM,CVX,AMZN,HD,PG,CAT,HON,NEE,META,TLT,GLD,UUP
2020-09-11,108.7471630815,194.7984371105,126.6798972567,274.637343831,87.091112719,176.5753986595,29.2515348856,61.2686159906,155.811,241.608801947,120.3310339539,138.6955627198,140.3652220891,60.5154371368,264.5542250885,138.5400820308,182.45,21.708686444
2020-09-14,112.0047231899,196.115997485,127.16851237,281.0960766417,88.2974801653,176.9445090887,29.0612810002,60.9531642414,155.1485,245.3859887324,120.7578633055,138.407045655,142.068663054,61.3356535596,264.097772054,138.5316591172,183.89,21.6569580411
2020-09-15,112.1843502004,199.3335181097,127.6314108983,279.8753852501,85.5486857696,174.0092023421,28.7521184364,60.2118526307,157.8065,249.6965282815,120.7578633055,133.9801119428,141.9253041609,64.3336860016,270.3194253727,138.1947425753,183.45,21.6742008421
2020-09-16,108.8733874673,195.7722860829,127.2113733448,279.2286010053,85.9105960036,176.3644784142,29.9729142012,61.9547235451,153.905,246.2428505494,119.9477586177,136.2431676694,143.3588930919,60.9940780201,261.4880514434,137.7820198115,183.97,21.7000650435
2020-09-17,107.1353747716,193.7291127485,126.1569933636,277.8257168688,84.9282682258,171.2232974359,29.964986956,62.1361083009,150.4365,244.7826880653,119.790964162,138.7316273529,143.645610878,60.8134998687,252.8551353552,138.2031654889,182.96,21.6224724391
2020-09-18,103.7370259253,191.3231329342,127.8800045524,280.5950465929,84.7473131088,171.2496624666,29.4814249972,61.6787032646,147.7455,240.6120443231,119.6603021156,137.3972359284,142.2626192035,60.2478333702,250.5827930746,137.7735968979,183.2,21.6483366406
2020-09-21,106.8829260001,193.3758538075,124.382549005,272.5512369007,82.1277723681,170.493864921,28.87895436,60.1724211621,148.0235,238.1288937512,119.0853891113,131.0318281874,136.0813210484,60.0911872629,246.2365663543,138.4726987224,179.52,21.8035218495
2020-09-22,108.562681287,198.0350528131,123.6196236527,268.0601857361,81.2316136936,168.4022391555,28.1655022896,59.5651765448,156.4495,238.9682685924,120.1742394982,132.6727689931,137.1860278128,60.4958563734,252.7856751108,138.3632008463,178.65,21.8811144539
2020-09-23,104.008893833,191.5140837131,123.816784137,266.128942639,79.9132264129,163.5686502016,27.2617963338,56.7418833894,149.993,233.0576707522,118.7369569875,130.1752931514,133.9056390239,59.4624271934,247.0998579631,138.5485049443,174.79,22.0018140608
2020-09-24,105.0769463275,193.996443839,124.0139446213,266.602643776,79.8442911303,171.4693710554,27.2063056172,56.6235889834,150.9895,232.3144742783,119.2683159763,130.8605211802,133.8803403957,60.3827230737,247.6059254579,139.0791484978,175.44,21.9673284589
2020-09-25,109.0190309892,198.4169543709,124.8625919232,275.5665268306,80.5422608671,171.3287575585,27.4599774645,56.6472478646,154.7565,234.8063683381,119.878072193,131.5547653672,136.1825155612,61.3138971558,252.8551353552,139.0791484978,174.94,22.0276782623
2020-09-28,111.6211952487,199.9636556801,126.1055601938,276.2315303499,82.8602097463,174.9495551022,27.9911028946,58.303369548,158.7025,238.1114067753,120.2177935137,133.1506253816,138.8388715214,61.8186457237,254.8397137663,138.6832715611,176.7,21.9587070584
2020-09-29,110.7764628212,197.8822921899,126.0626992189,277.069616977,82.1622400094,172.9458127722,27.1745966363,56.7024519208,157.244,237.9190500409,119.5644832815,132.9071891083,138.7292441326,61.596730405,259.7713911178,138.8433069185,178.19,21.8552502524
2020-09-30,112.4465085399,200.8133866463,127.6228387034,284.0111605619,82.9549957599,176.6193403772,27.2142328624,56.7813148581,157.4365,242.8154032812,121.071452217,134.4760006478,138.8135728932,60.3870743544,259.8805429304,137.512486578,177.12,21.8552502524
2020-10-01,113.3980462169,202.8470124417,126.2855762881,285.1954134045,83.5581794831,174.4925612375,26.2629634353,55.5352804487,161.063,242.7367118898,121.2892222943,132.2760580291,138.0293154193,61.5184073514,264.5740708726,137.7391134899,178.7,21.8207646505
