date,drawdown
2020-09-15,-0.043624047419209874
2020-09-16,-0.04735364430447099
2020-09-17,-0.05428112839482514
2020-09-18,-0.06066626167043505
2020-09-21,-0.072711549697778
2020-09-22,-0.06871709339919836
2020-09-23,-0.0886899192382604
2020-09-24,-0.08337531143659536
2020-09-25,-0.07238828518704794
2020-09-28,-0.060312264711513686
2020-09-29,-0.06503715163971296
2020-09-30,-0.0592417330197082
2020-10-01,-0.059399253876944724
2020-10-02,-0.06374811034968791
2020-10-05,-0.0499907298687329
2020-10-06,-0.060424926798861744
2020-10-07,-0.04742548340603328
2020-10-08,-0.03690688604080694
2020-10-09,-0.030733209262350923
2020-10-12,-0.015345613458943022
2020-10-13,-0.02234226559322042
2020-10-14,-0.02681463256211226
2020-10-15,-0.027443903831807535
2020-10-16,-0.026965690651072318
2020-10-19,-0.041951763225033835
2020-10-20,-0.036691217765313824
2020-10-21,-0.04024644178739851
2020-10-22,-0.03218604842619016
2020-10-23,-0.030317297554829727
2020-10-26,-0.044498499572562474
2020-10-27,-0.04745831607213237
2020-10-28,-0.07749859599172904
2020-10-29,-0.06760358598968527
2020-10-30,-0.07765327955341829
2020-11-02,-0.06322085832770787
2020-11-03,-0.05027418872927937
2020-11-04,-0.03886897886246708
2020-11-05,-0.02189006755111703
2020-11-06,-0.025323280745926616
2020-11-09,-0.010132807843431096
2020-11-10,-0.0057716710415805055
2020-11-11,-0.0015695690080611041
2020-11-12,-0.006926050118187332
2020-11-13,0.0
2020-11-16,0.0
2020-11-17,-0.006485766856517642
2020-11-18,-0.018334481522057463
2020-11-19,-0.016924747125863962
2020-11-20,-0.020787353273950825
2020-11-23,-0.014087263477672363
2020-11-24,0.0
2020-11-25,-0.0034472574244165818
2020-11-27,-0.0030598285539234216
2020-11-30,-0.014028494322973206
2020-12-01,-0.0042392514356792265
2020-12-02,0.0
2020-12-03,-0.0026552968054597394
2020-12-04,0.0
2020-12-07,-0.001822391364483486
2020-12-08,0.0
2020-12-09,-0.004641255474010416
2020-12-10,-0.003350794926155177
2020-12-11,-0.003761717783004348
2020-12-14,-0.011461217883204056
