date,actual_loss,hs_var_95,param_var_95,mc_var_95,breach_hs_95,breach_param_95,breach_mc_95,cum_breach_rate_hs
2022-11-21,0.002762833940473,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.08928571428571429
2022-11-22,-0.0124559684220234,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.08888888888888889
2022-11-23,-0.004000424590966,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.08849557522123894
2022-11-25,-0.0001303941357598,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.0881057268722467
2022-11-28,0.0137277332461729,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.08771929824561403
2022-11-29,0.0017682476732797,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.08733624454148471
2022-11-30,-0.0239726773060165,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.08695652173913043
2022-12-01,3.124127989570437e-05,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.08658008658008658
2022-12-02,-0.0006548168216389,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.08620689655172414
2022-12-05,0.0148324911000968,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.08583690987124463
2022-12-06,0.0139313141203999,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.08547008547008547
2022-12-07,-0.0020985288846087,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.0851063829787234
2022-12-08,-0.0063045684303635,0.01507316961261525,0.019072880218185206,0.019184750794552747,0,0,0,0.0847457627118644
